Address,City,Numbe_Bedrooms,Number_bathrooms,Year Built,Total_Rooms,Lot Area,Price
"6767, Chemin Louis-Pasteur",Côte-Saint-Luc,3,2,1977,9,1889,488000
"6061, boulevard Cavendish",Côte-Saint-Luc,5,4,1982,13,2900,799000
"5566, Avenue Pinedale",Côte-Saint-Luc,5,3,1957,14,4610,1198000
"33, Rue Sunny Acres",Baie-d'Urfé,4,2,1952,4,20593,950000
"85, Rue Morgan",Baie-d'Urfé,3,3,1948,11,18339,849000
"21, Rue Apple Hill",Baie-d'Urfé,5,4,2021,23,15000,2100000
"117, Rue Churchill",Baie-d'Urfé,3,3,1994,15,3000,649000
"102, Rue Devon",Baie-d'Urfé,3,1,1956,8,15532,699000
"91, Rue Devon",Baie-d'Urfé,3,2,1954,8,15000,799900
"722, Rue Surrey",Baie-d'Urfé,3,1,1955,6,23499,749000
"113, Rue Elm",Baie-d'Urfé,5,3,1957,18,33323,1380000
"20756, Rue Gay Cedars",Baie-d'Urfé,3,3,1967,10,15001,1268000
"53, Rue Lakeview",Baie-d'Urfé,5,4,2020,9,18560,2250000
"20, Rue Pierre-Trudeau",Dollard-Des Ormeaux,4,4,2002,11,6684,1298000
"160, Rue Davignon",Dollard-Des Ormeaux,2,1,1970,8,3248,339900
"1297, Rue Tecumseh",Dollard-Des Ormeaux,6,4,1998,18,6233,1100000
"217, Rue Dali",Dollard-Des Ormeaux,7,5,2004,19,8396,1895000
"12, Rue Dephoure",Dollard-Des Ormeaux,3,2,1967,8,6000,625000
"13, Rue Sunshine",Dollard-Des Ormeaux,4,2,1965,10,4860,499000
"31, Rue Pasteur",Dollard-Des Ormeaux,5,3,1972,10,6006,624900
"58, Rue Avondale",Dollard-Des Ormeaux,5,2,1964,14,6095,625000
"558, Rue Devon",Dollard-Des Ormeaux,5,4,1971,19,7141,725000
"30, Rue Pinecrest",Dollard-Des Ormeaux,3,2,1961,12,6000,589000
"91, Rue Sunshine",Dollard-Des Ormeaux,4,2,1964,8,5320,499000
"147, Rue France",Dollard-Des Ormeaux,3,2,1962,9,6629,600000
"101, Rue Northview",Dollard-Des Ormeaux,6,5,2000,21,7903,1879000
"200, Rue Myconos",Dollard-Des Ormeaux,6,4,1987,17,7610,1298000
"13, Rue Biscaye",Dollard-Des Ormeaux,5,3,1967,11,7150,529000
"300, Croissant Harrow",Hampstead,5,5,1987,11,9200,3688000
"480, Rue Dufferin",Hampstead,3,2,1950,7,5340,949000
"22, Rue Briardale",Hampstead,5,6,1970,14,8580,1836000
"1, Rue Applewood",Hampstead,5,4,1969,17,7000,2795000
"33, Rue Finchley",Hampstead,4,3,1935,9,6000,2095000
"27, Rue Lyncroft",Hampstead,5,4,1964,15,8094,2998000
"195, Rue Finchley",Hampstead,5,4,1966,10,6831,2499000
"243, Croissant Netherwood",Hampstead,5,5,1980,14,6025,1939000
"185, Rue Harland",Hampstead,6,6,1963,20,7200,2998000
"215, Rue Finchley",Hampstead,5,4,1967,16,6558,1915000
"5721, Chemin Queen-Mary",Hampstead,5,3,1955,9,6081,1489000
"5596, Chemin Queen-Mary",Hampstead,5,4,1945,17,11812,1789000
"33, Rue Béthune",Kirkland,3,2,1984,9,6650,699000
"11, Rue Monsadel",Kirkland,4,3,1985,12,6750,849000
"8, Place Massabni",Kirkland,5,3,2000,11,10114,1288000
"109, Rue Houde",Kirkland,4,2,1975,11,6871,688000
"26, Rue du Curé-Trottier",Kirkland,4,3,1971,12,6048,669900
"43, Rue des Lilas",Kirkland,5,4,2001,15,8572,1150000
"69, Rue Morley Hill",Kirkland,5,4,1981,12,22545,1625000
"11, Rue Allard",Kirkland,4,4,2000,13,3291,599000
"17399, Chemin Sainte-Marie",Kirkland,4,3,2009,11,5127,799000
"13, Rue Lafford",Kirkland,3,4,1992,10,9664,1095000
"36, Rue de Shediac",Kirkland,5,3,1976,10,6000,849000
"284, Rue Evans",Kirkland,4,2,1973,12,6629,719000
"50, Rue Rondeau",Kirkland,6,3,1975,16,7927,889900
"73, Rue Monsadel",Kirkland,4,4,1998,16,7094,1079000
"53, Rue Piper",Kirkland,3,2,1971,7,6278,599000
"2, Rue de Lacey Green",Kirkland,5,4,2002,10,11639,1499000
"88, Rue Alta-Vista",Kirkland,5,4,1975,16,7473,1195000
"97, boulevard Kirkland",Kirkland,5,3,1975,15,6606,888000
"17, Rue Mérineau",Kirkland,4,3,1987,15,6236,799000
"67, Rue Béthune",Kirkland,5,4,1986,16,12112,1150000
"11380, Rue De La Gauchetière",Montréal-Est,3,2,1941,12,2730,199900
"11419, Rue Victoria",Montréal-Est,4,3,2010,14,3087,549900
"11201, Rue Sainte-Catherine Est",Montréal-Est,2,2,1948,8,4475,289900
"487, Avenue Lelièvre",Montréal-Est,2,1,1948,7,3552,299000
"2, Avenue Easton",Montréal-Ouest,5,4,1936,15,16717,1695000
"2165, Rue Johnson",Montréal (Saint-Laurent),4,2,1956,11,3520,849000
"19, Rue de Granada",Kirkland,5,4,1975,15,7605,675000
"7740 - 7742, Rue Serge",Montréal (LaSalle),3,1,1970,7,1494,379000
"77, Rue Milton",Montréal (Le Plateau-Mont-Royal),5,2,1885,6,1322,1179000
"123, Avenue Viking",Pointe-Claire,4,2,1960,13,7512,509000
"9490, Rue Sainte-Claire",Montréal (Mercier/Hochelaga-Maisonneuve),2,1,1962,8,2016,359900
"5355, Avenue Jeanne-d'Arc",Montréal (Rosemont/La Petite-Patrie),2,1,1910,5,1887,549000
"21, Surrey Gdns",Westmount,3,3,1951,12,7361,3350000
"13260, Rue Aragon",Montréal (Pierrefonds-Roxboro),4,2,1969,12,7541,549000
"11655, Rue Laforest",Montréal (Ahuntsic-Cartierville),4,2,1955,11,4006,749000
"11650, boulevard de la Rivière-des-Prairies",Montréal (Rivière-des-Prairies/Pointe-aux-Trembles),2,1,1954,5,1954,350000
"4558, Rue Foster",Montréal (Pierrefonds-Roxboro),3,2,1987,11,4650,595000
"01284, Rue Charlevoix",Montréal (Le Sud-Ouest),2,2,1884,7,2401,830000
"3848Z, Rue Monselet",Montréal (Montréal-Nord),3,2,2015,13,1668,589000
"3970, Avenue Laval",Montréal (Le Plateau-Mont-Royal),5,3,1890,12,1574,1580000
"6509, Chemin Bruton",Montréal (Ahuntsic-Cartierville),4,4,1929,20,20000,1649000
"2, Avenue Easton",Montréal-Ouest,5,4,1936,15,16717,1695000
"463, Avenue Ballantyne Nord",Montréal-Ouest,5,4,1966,13,3215,999000
"113, Avenue Brock Sud",Montréal-Ouest,5,2,1911,12,4971,1279000
"11, Avenue Brynmor",Montréal-Ouest,4,5,1958,11,5475,1500000
"40, Avenue Garden City",Sainte-Anne-de-Bellevue,4,1,1947,11,4294,495000
"38, Montée Sainte-Marie",Sainte-Anne-de-Bellevue,5,3,1860,11,4832,475000
"335, Rue Vallée",Sainte-Anne-de-Bellevue,4,2,1997,9,5922,679800
"22, Rue Saint-Pierre",Sainte-Anne-de-Bellevue,2,2,1925,7,,330000
"308, Rue Frédéric-Back",Sainte-Anne-de-Bellevue,4,3,2021,17,,739204
"21206, Rue Euclide-Lavigne",Sainte-Anne-de-Bellevue,5,5,2006,12,19121,2200000
"107, Rue Meloche",Sainte-Anne-de-Bellevue,3,2,1984,9,6018,450000
"12, Rue Maple",Sainte-Anne-de-Bellevue,4,3,1870,11,16818,1100000
"25A, Rue Christie",Sainte-Anne-de-Bellevue,2,1,1941,9,1745,349000
"401, Rue Frédéric-Back",Sainte-Anne-de-Bellevue,4,3,2021,18,,843574
"657, Avenue Lansdowne",Westmount,5,4,1924,10,3569,1875000
"520, Avenue Lansdowne",Westmount,4,4,1915,12,5514,3150000
"41, Avenue Rosemount",Westmount,5,6,1897,19,8741,5200000
"3261, Avenue Cedar",Westmount,7,8,1912,28,17010,20000000
"5, Chemin Belfrage",Westmount,4,4,1925,14,2525,1790000
"109, Avenue Upper-Bellevue",Westmount,5,6,1952,10,6055,4500000
"3186, boulevard The Boulevard",Westmount,6,6,1911,22,5063,5995000
"627, Avenue Lansdowne",Westmount,5,4,1926,8,3450,1995000
"3773, boulevard The Boulevard",Westmount,4,4,1962,9,6504,2680000
"15, Lansdowne Ridge",Westmount,5,4,1946,15,5293,3195000
"24, Chemin Edgehill",Westmount,5,5,1928,10,5135,3995000
"753, Avenue Lexington",Westmount,6,7,1936,19,16278,5885000
"68, Chemin Belvedere",Westmount,5,5,1926,12,17540,4498000
"72, Croissant Belmont",Westmount,7,5,1929,15,11328,6890000
"4306, Avenue Montrose",Westmount,4,4,1963,18,5479,3250000
"20480, Rue des Sports",Mirabel,3,2,1994,9,6265,479000
"14842, Rue des Saules",Mirabel,3,1,2007,8,5542,449900
"13900, Rue Plouffe",Mirabel,4,2,1990,11,5998,359000
"17884, Rue Charles",Mirabel,4,2,1958,11,6060,364900
"18940, Rue Wilfrid-Gascon",Mirabel,2,1,2008,8,5781,469900
"19840, Place de l'Aviron",Mirabel,3,2,1996,10,4182,273000
"9240, Rue Yvon-Paiement",Mirabel,3,2,2010,13,7146,549900
"8735, Rue M.-J.-Drapeau",Mirabel,3,2,2019,10,2573,399900
"9055, Rue de l'Apothicaire",Mirabel,3,2,2021,11,2925,465000
"8440, Rue Charles-Huot",Mirabel,3,3,2006,14,8829,724900
"10120, Rue Armand-Bertrand",Mirabel,3,2,1991,11,6435,339900
"8962, Rue Pierre-Rodrigue",Mirabel,2,2,2016,6,2016,299000
"9465, Rue des Outardes",Mirabel,3,1,2008,9,5695,350000
"3315, Rue Avon",Longueuil ,3,3,2021,13,4800,598000
"5330, boulevard Westley",Longueuil ,5,2,1951,11,5000,525000
"1125, Rue Moisan",Longueuil ,4,1,1985,10,3632,425000
"3431, Rue Laubia",Longueuil ,3,2,2010,11,7324,669000
"4891, Rue Belmont",Longueuil ,4,3,2021,10,2500,499900
"3547, Rue Prince-Charles",Longueuil ,4,4,2021,14,2500,549000
"5414, Avenue Normand",Longueuil ,4,3,1996,14,4526,499000
"3155, Rue Howard",Longueuil ,6,4,2020,20,2020,1580000
"3785, Rue Caron",Longueuil ,3,2,2021,13,2810,539000
"5349 - 5351, Rue Pascal",Longueuil ,4,2,2006,10,5382,669000
"3355, Rue Latour",Longueuil ,4,2,1977,13,4999,350000
"3820, Rue Park",Longueuil ,3,2,1956,5,5500,429000
"3085, boulevard Gareau",Longueuil ,4,2,1989,12,3861,399000
"5240, Rue Bisaillon",Longueuil ,3,2,1973,8,6797,439000
"6961, Avenue Spriggs",Longueuil ,2,1,2017,9,4250,499000
"6100, Avenue Brunet",Longueuil ,4,2,1974,11,5765,469000
"5208, Avenue Irving",Longueuil ,3,2,1973,9,4000,418000
"2250, Rue d'York",Longueuil ,4,3,1983,12,4465,519000
"3955, Rue Hillcrest",Longueuil ,3,2,1997,16,27500,850000
"4035, Rue de la Légion",Longueuil ,4,2,1978,9,4703,399900
"1116, boulevard Payer",Longueuil ,3,1,1970,6,4079,320000
"66, Rue Pendale",Longueuil ,3,2,1964,12,6129,545000
"637, Rue Bellevue",Longueuil ,5,2,1972,15,5700,459000
"530, Rue de Springfield",Longueuil ,3,2,1946,12,5880,639000
"598, Rue Vallières",Longueuil ,4,2,1965,12,5926,449000
"571, Rue Gaspé",Longueuil ,4,2,1972,9,5158,449000
"1332, Rue Bellevue",Longueuil ,2,1,1969,7,6830,389000
"115, Rue Regent",Longueuil ,4,2,1948,11,10725,899000
"246, Rue Rolland",Longueuil ,4,2,1965,12,5802,599900
"196, Chemin Saint-Charles",Longueuil ,3,2,1948,10,9393,579000
"238, Avenue Murray",Longueuil ,3,1,1949,8,4605,345000
"533, Rue Vallières",Longueuil ,5,3,1965,12,5435,620000
"561, Rue Louis-Lamarre",Longueuil ,3,2,1989,11,5006,599000
"1446, Rue des Mésanges",Saint-Bruno-de-Montarville,5,3,1975,10,8827,949000
"204, Rue Héroux",Saint-Bruno-de-Montarville,3,2,1971,9,3942,388500
"265, Grand Boulevard Est",Saint-Bruno-de-Montarville,5,3,1920,15,9539,625000
"53, Grand Boulevard Est",Saint-Bruno-de-Montarville,4,2,1975,13,10389,499999
"1621, Croissant Pease",Saint-Bruno-de-Montarville,3,2,1997,13,9726,649000
"180, Rue Boulanger",Saint-Bruno-de-Montarville,4,2,1968,12,8500,599000
"1482, Rue François-P.-Bruneau",Saint-Bruno-de-Montarville,5,6,2004,19,22367,2588000
"390, Rue Gouin",Saint-Bruno-de-Montarville,3,3,1991,14,6745,599500
"1860, Rue des Érables",Saint-Bruno-de-Montarville,4,3,1971,14,13995,949000
"1640, Rue de Montpellier",Saint-Bruno-de-Montarville,5,4,1971,19,13212,2675000
"405, Rue Hillcrest",Saint-Bruno-de-Montarville,4,3,1967,17,8717,859000
"924, Rue Gaboury",Saint-Bruno-de-Montarville,4,2,1978,11,7000,769000
"924, Rue Angers",Saint-Bruno-de-Montarville,4,2,1973,12,6300,492000
"987, Rue Pelletier",Saint-Bruno-de-Montarville,4,2,1972,12,6000,525000
"380, Rue Panet",Saint-Bruno-de-Montarville,4,2,1967,12,6090,579000
"4270, Rue de l'Ancolie",Saint-Bruno-de-Montarville,5,3,2001,16,6997,949900
"37, Rue Frontenac Est",Saint-Bruno-de-Montarville,5,2,1973,15,6298,519000
"1587, Rue des Mésanges",Saint-Bruno-de-Montarville,3,3,2015,15,11043,1599000
"410, Chemin De La Rabastalière Est",Saint-Bruno-de-Montarville,4,3,2007,11,7804,1149000
"3868, Rue Jacques-Beauchamp",Boisbriand,3,2,1994,10,5413,439000
"649, Rue Papineau",Boisbriand,3,2,2013,12,2971,389900
"5, 3e Avenue",Boisbriand,5,1,1980,10,5099,365000
"4620, Rue Jean-Paul-Lemieux",Boisbriand,4,2,1994,10,6510,385000
"1093, Rue Chablis",Boisbriand,5,2,1988,11,6700,399900
"16, Terrasse Robert",Boisbriand,3,4,2021,13,5000,648450
"9, Rue Collin",Boisbriand,2,3,1990,7,7214,599900
"286, Avenue de Colombier",Boisbriand,3,2,1981,9,4691,379000
"3597, Carré Marguerite-Bourgeoys",Boisbriand,3,2,1993,10,1602,339900
"524, Rue Courval",Boisbriand,5,2,1987,12,5000,399500
"243, Place Courville",Boisbriand,5,2,1971,14,8221,449900
"184Z - 186Z, Rue Diane-Juster",Boisbriand,3,2,1997,8,11919,599900
"270, Chemin de la Côte Sud",Boisbriand,4,3,1972,14,29831,495000
"196, Chemin de la Grande-Côte",Boisbriand,5,6,1995,13,72599,2998000
"34, Avenue Provencher",Boisbriand,4,1,1972,9,7200,374900
"3232, Rue Bolduc",Boisbriand,2,2,1986,9,5931,435000
"71, Rue De Bleury",Rosemère,5,5,2001,17,15679,3250000
"545, Rue Northcote",Rosemère,3,2,2015,10,3000,575000
"236, Rue Florian",Rosemère,2,1,1955,8,5600,349000
"299, Rue Woodlawn",Rosemère,5,2,1976,13,7738,499900
"346, Rue Pine",Rosemère,7,4,1957,18,13080,719900
"566, Rue des Frênes",Rosemère,4,4,1990,15,11597,675000
"93, Rue De Bleury",Rosemère,6,7,2012,18,11569,3400000
"426, Rue d'Orléans",Rosemère,5,2,1977,11,10213,649000
"352, Rue Champlain",Rosemère,5,4,1978,20,10999,1100000
"327, Rue Maplewood",Rosemère,3,1,1981,7,10100,349000
"414, Rue du Colibri",Rosemère,4,3,2002,15,10578,679900
"133, Rue du Jardin-des-Tourelles",Rosemère,2,2,1993,10,5661,399900
"122, Rue des Villas",Rosemère,2,2,2003,9,5148,599900
"600, Rue des Charentes",Rosemère,5,4,2000,12,10548,899000
"380, Rue du Cheminot",Rosemère,4,2,1986,9,8632,649000
"688, Rue des Vignobles",Rosemère,4,4,2002,15,7508,849000
"397, Rue du Colibri",Rosemère,4,2,2000,12,7579,589900
"166, Rue Bellerive",Rosemère,4,3,1975,13,8575,699000
"324, Rue Coolbrook",Rosemère,5,3,1977,13,15689,729000
"615, Rue de l'Ermitage",Rosemère,6,4,2011,16,7500,1250000
"135Y - 135Z, Rue Blainville Est",Sainte-Thérèse,4,1,1940,10,6454,425000
"587, Rue Magnan",Sainte-Thérèse,2,3,1981,12,4043,450000
"88, Rue Valiquette",Sainte-Thérèse,3,2,1975,11,4858,329000
"112, Rue Dumontier",Sainte-Thérèse,3,3,1974,12,5775,369900
"15, Rue Lecompte",Sainte-Thérèse,2,3,1942,10,4160,349000
"24, Rue Louis-Hébert",Sainte-Thérèse,5,2,1951,11,6000,369900
"988, Rue Gendron",Sainte-Thérèse,4,4,1988,15,7560,675000
"5, Rue Vaillancourt",Sainte-Thérèse,3,3,1958,11,10824,579000
"17, Rue du Ravin",Sainte-Thérèse,4,2,1967,11,27564,649000
"129, Rue Régimbald",Sainte-Thérèse,3,3,1976,12,4000,349900
"102, Rue Leduc",Sainte-Thérèse,4,2,1955,11,4300,299900
"165, Rue Blainville Ouest",Sainte-Thérèse,2,2,1988,8,9359,725000
"72, Rue Matte",Sainte-Thérèse,3,1,1948,7,5208,279900
"590, Rue Magnan",Sainte-Thérèse,4,2,1972,10,7242,324000
"6, Rue de Charmes",Lorraine,4,2,1978,12,7687,579000
"55, Avenue de Sion",Lorraine,5,2,1974,14,8500,459000
"51, Rue de Louvigny",Lorraine,5,3,1966,15,9150,440000
"17, Avenue de Baccarat",Lorraine,4,2,1972,12,3667,289900
"123, Chemin d'Aigremont",Lorraine,3,3,1996,12,7200,599000
"31, Chemin de Hombourg",Lorraine,5,7,1997,20,27258,2475000
"142, boulevard du Val-d'Ajol",Lorraine,3,4,2009,16,14606,1295000
"18, Chemin de Saverne",Lorraine,4,2,1983,12,7441,429900
"35, Avenue de Neufchâteau",Lorraine,5,3,1963,10,8644,499000
"4, Place de Dabo",Lorraine,4,4,1986,10,15600,1198000
"28, Chemin de Saverne",Lorraine,4,3,1964,8,6997,469900
"5, Place d'Haguenau",Lorraine,5,4,2010,19,11335,1495000
"13, Place de Mortagne",Lorraine,4,3,1993,15,5968,649000
"14, Rue de Louvigny",Lorraine,4,3,1962,12,8914,449000
"45, Avenue de Morhange",Lorraine,4,2,1966,12,7055,549000
"115, boulevard De Gaulle",Lorraine,4,3,1980,15,12596,674900
"18, Avenue de Marsal",Lorraine,3,2,1976,11,6996,499000
"8, Rue de Nogent",Lorraine,4,4,1990,22,9615,1248000
"59, boulevard René-D'Anjou",Lorraine,5,3,2005,13,8008,995000
"12, Rue de Nogent",Lorraine,4,2,1988,9,7409,699000
"29, 44e Avenue",Bois-des-Filion,3,1,2006,12,5000,399900
"9, 37e Avenue",Bois-des-Filion,3,1,1958,10,6000,299000
"304, Place du Coteau",Bois-des-Filion,3,3,1978,14,5997,545000
"8, 50e Avenue",Bois-des-Filion,6,3,1963,15,6750,549000
"314, Rue Pierre-Coté",Bois-des-Filion,4,1,1988,9,4000,369000
"44, 43e Avenue",Bois-des-Filion,4,1,,11,4594,274000
"4, 56e Avenue",Bois-des-Filion,3,2,1997,8,6500,425000
"775, Avenue des Frênes",Bois-des-Filion,6,2,2002,12,8707,449100
"399, Rue Joseph-Germain",Bois-des-Filion,4,2,1961,12,8178,409900
"259, Rue Adrien-Éthier",Bois-des-Filion,3,1,1990,8,4252,324000
"363, Rue Carmelle",Bois-des-Filion,3,2,1978,13,6500,350000
"30 - 30A, 38e Avenue",Bois-des-Filion,2,1,1947,5,6199,329900
"66, Place du Havre",Bois-des-Filion,4,2,2002,11,5811,588000
"398, Rue Joseph-Germain",Bois-des-Filion,2,2,1959,9,5980,249900
"297, Rue Pierre-Coté",Bois-des-Filion,3,2,1991,8,5034,379900
"426, Rue Goyer",Bois-des-Filion,3,2,1999,9,4937,595000
"50, Rue Guy-du-Lac",Sainte-Anne-des-Plaines,2,1,1990,6,26030,329900
"374, 5e Avenue",Sainte-Anne-des-Plaines,3,3,1969,16,65611,925000
"175, Rue Coursol",Sainte-Anne-des-Plaines,4,1,1985,10,4090,264900
"38, Rue Robert",Sainte-Anne-des-Plaines,2,1,1985,6,20040,199900
"113, Rue Mathias",Sainte-Anne-des-Plaines,4,3,1978,7,14210,899000
"69, Rue des Frênes",Sainte-Anne-des-Plaines,3,3,2020,13,3067,331345
"405, Montée Morel",Sainte-Anne-des-Plaines,2,2,2008,10,32375,899000
"519, Rue du Sentier",Sainte-Anne-des-Plaines,4,3,2005,11,8724,249000
"148, Rue Saint-Isidore",Sainte-Anne-des-Plaines,3,2,1884,12,4039,189900
"486, Rue des Cèdres",Sainte-Anne-des-Plaines,3,2,1990,11,5000,275000
"279, Rue Saint-Antoine",Sainte-Anne-des-Plaines,4,3,2006,14,6187,449900
"200, Chemin de la Plaine",Sainte-Anne-des-Plaines,4,2,2005,10,25692,599000
"535, Rue Beaudry",Sainte-Anne-des-Plaines,3,2,1991,10,4843,349900
"531, Rue Beaudry",Sainte-Anne-des-Plaines,3,2,1991,9,4843,325000
"186, Rue Joly",Sainte-Anne-des-Plaines,3,2,1978,9,3000,225000
"156, Rue Joly",Sainte-Anne-des-Plaines,3,2,1979,9,3000,289000
"273, Montée Gagnon",Sainte-Anne-des-Plaines,2,2,1993,10,37733,599900
"421, Rue Séraphin-Bouc",Sainte-Anne-des-Plaines,3,2,2018,11,3666,314900
"272, boulevard de Mortagne",Boucherville,4,2,1970,,6533,474900
"734, Rue des Châtaigniers",Boucherville,5,4,2005,,56294,2485000
"614, Rue Jean-Baptiste-Bau",Boucherville,3,2,1964,,6436,469900
"1285, Rue de Rouen",Boucherville,4,3,1990,12,7749,849000
"239, boulevard de Mortagne",Boucherville,2,1,1968,21,10011,439900
"57, Rue De Muy",Boucherville,4,3,2021,10,5000,699000
"17, Rue Birtz",Boucherville,3,3,2021,16,7215,869750
"624, Rue Françoise-Loisel",Boucherville,4,2,1962,10,6741,479000
"690, Rue des Abbés-Primeau",Boucherville,3,2,1957,9,6000,369900
"16, Rue Marguerite-Bourgeoys",Boucherville,3,4,1978,15,10085,929000
"692, Rue des Châtaigniers",Boucherville,6,8,2008,16,60458,6920000
"678, Rue du Bosquet",Boucherville,3,5,2007,11,23151,1798000
"192, Rue Thomas-Chapais",Boucherville,4,3,1981,19,6015,569000
"300, Rue d'Arromanches",Boucherville,5,3,1991,24,7210,799000
"710, Rue Charles-Lussier",Boucherville,4,2,1957,27,6000,479000
"1229, Rue de Lisieux",Boucherville,5,4,2001,15,10517,1699000
"76, Rue De Varennes Nord",Boucherville,6,4,1961,14,12160,589000
"468, Rue de Gascogne",Boucherville,5,4,2009,12,6821,1095000
"392, Rue Louis-H.-Latour",Boucherville,6,2,1966,22,7660,419000
"22, Rue Jacques-Racicot",Boucherville,3,2,1955,21,6999,499999
"105, Rue Richard",Laval ,4,2,1975,16,4728,299000
"1290, 41e Avenue",Laval (Fabreville),3,2,1958,14,6398,299000
"36, Rue Lortie",Laval ,4,2,1945,11,3175,299995
"314, Rue Antoine-Plamondon",Laval ,3,2,1999,11,3013,488000
"1166, Rue Pierre-Quenneville",Laval ,4,3,2000,7,4537,549000
"2344, Rue de Montségur",Laval ,2,2,2003,12,3016,599000
"3602, boulevard Lévesque Est",Laval (Saint-Vincent-de-Paul),3,3,2000,9,5365,945000
"460, Rue Hochelaga",Laval (Fabreville),4,1,1972,7,4499,374900
"1170, Croissant Vendôme",Laval (Duvernay),3,2,1963,10,5888,590000
Rue Gascon,Laval (Saint-François),3,2,2021,8,2527,419000
"5348, Avenue Clarendon",Laval ,3,3,1987,8,2803,489000
"4171, Rue Sacha",Laval (Fabreville),4,2,2008,8,4101,649900
"3088, Rue Edmond-Rostand",Laval ,3,3,1999,12,3900,699000
"2965, boulevard des Mille-Îles",Laval (Saint-François),4,5,2014,10,21165,1695000
"6820, Rue du Chardonneret",Laval ,4,2,1977,10,8755,499000
"738, Rue Olivar-Asselin",Laval ,4,2,1956,17,4403,499000
"1396, Rue Vauquelin",Laval (Fabreville),4,2,1955,14,6812,325000
"7630, boulevard des Mille-Îles",Laval (Saint-François),3,2,1708,6,51349,1090000
"4613, Avenue Eliot",Laval ,3,2,1989,9,2996,439000
"1630, Croissant Surprenant",Brossard,5,3,1985,18,6496,895000
"5540, Rue Boileau",Brossard,4,3,1972,13,5444,525000
"8130, Rue Nelligan",Brossard,3,2,1978,10,6000,596000
"6675, Place Beaulac",Brossard,2,3,1978,11,2977,379900
"6120, Rue Brodeur",Brossard,4,3,1970,9,5143,475000
"8045, Rue Nelligan",Brossard,4,2,1977,12,6000,585000
"5615, Rue Corneille",Brossard,3,3,2010,11,3038,648000
"6045, Avenue Platon",Brossard,4,2,1971,8,5320,479000
"8995, boulevard Rivard",Brossard,5,4,1985,22,12152,1900000
"4180, Rue de l'Oural",Brossard,4,4,2006,12,4682,938000
"8345, Rue Racine",Brossard,5,4,1981,14,6300,965000
"1667, Rue Agnès",Brossard,5,4,2021,18,5389,829000
"7520, Rue Trinidad",Brossard,4,1,1968,10,6000,498800
"3445, Avenue Bienvenue",Brossard,4,2,1966,11,4941,600000
"8868, Place Rodier",Brossard,5,4,2021,14,4676,1199000
"1810, Rue Albert",Brossard,2,1,1953,8,4004,399000
"1180, Rue Strauss",Brossard,3,2,1982,12,6004,699000
"8000, boulevard Pelletier",Brossard,4,3,1976,10,6929,810000
"7200, Rue Marisa",Brossard,3,2,1968,11,5700,549000
